UTLA20CD,UTLA20NM,RGN20CD,RGN20NM,Year,UTLA_population,Region_population,National_population
E06000001,Hartlepool,E12000001,North East,2015,92498,2624579,54777305
E06000001,Hartlepool,E12000001,North East,2016,92845,2636589,55258490
E06000001,Hartlepool,E12000001,North East,2017,93019,2644727,55609517
E06000001,Hartlepool,E12000001,North East,2018,93242,2657909,55966230
E06000001,Hartlepool,E12000001,North East,2019,93663,2669941,56275016
E06000002,Middlesbrough,E12000001,North East,2015,139310,2624579,54777305
E06000002,Middlesbrough,E12000001,North East,2016,140326,2636589,55258490
E06000002,Middlesbrough,E12000001,North East,2017,140639,2644727,55609517
E06000002,Middlesbrough,E12000001,North East,2018,140545,2657909,55966230
E06000002,Middlesbrough,E12000001,North East,2019,140980,2669941,56275016
E06000003,Redcar and Cleveland,E12000001,North East,2015,135324,2624579,54777305
E06000003,Redcar and Cleveland,E12000001,North East,2016,135496,2636589,55258490
E06000003,Redcar and Cleveland,E12000001,North East,2017,136005,2644727,55609517
E06000003,Redcar and Cleveland,E12000001,North East,2018,136718,2657909,55966230
E06000003,Redcar and Cleveland,E12000001,North East,2019,137150,2669941,56275016
E06000004,Stockton-on-Tees,E12000001,North East,2015,195128,2624579,54777305
E06000004,Stockton-on-Tees,E12000001,North East,2016,195958,2636589,55258490
E06000004,Stockton-on-Tees,E12000001,North East,2017,196487,2644727,55609517
E06000004,Stockton-on-Tees,E12000001,North East,2018,197213,2657909,55966230
E06000004,Stockton-on-Tees,E12000001,North East,2019,197348,2669941,56275016
E06000005,Darlington,E12000001,North East,2015,105998,2624579,54777305
E06000005,Darlington,E12000001,North East,2016,106327,2636589,55258490
E06000005,Darlington,E12000001,North East,2017,106347,2644727,55609517
E06000005,Darlington,E12000001,North East,2018,106566,2657909,55966230
E06000005,Darlington,E12000001,North East,2019,106803,2669941,56275016
E06000006,Halton,E12000002,North West,2015,126719,7175178,54777305
E06000006,Halton,E12000002,North West,2016,127306,7223961,55258490
E06000006,Halton,E12000002,North West,2017,127595,7258627,55609517
E06000006,Halton,E12000002,North West,2018,128432,7292093,55966230
E06000006,Halton,E12000002,North West,2019,129410,7341196,56275016
E06000007,Warrington,E12000002,North West,2015,207781,7175178,54777305
E06000007,Warrington,E12000002,North West,2016,208973,7223961,55258490
E06000007,Warrington,E12000002,North West,2017,209704,7258627,55609517
E06000007,Warrington,E12000002,North West,2018,209547,7292093,55966230
E06000007,Warrington,E12000002,North West,2019,210014,7341196,56275016
E06000008,Blackburn with Darwen,E12000002,North West,2015,147856,7175178,54777305
E06000008,Blackburn with Darwen,E12000002,North West,2016,148462,7223961,55258490
E06000008,Blackburn with Darwen,E12000002,North West,2017,148772,7258627,55609517
E06000008,Blackburn with Darwen,E12000002,North West,2018,148942,7292093,55966230
E06000008,Blackburn with Darwen,E12000002,North West,2019,149696,7341196,56275016
E06000009,Blackpool,E12000002,North West,2015,140162,7175178,54777305
E06000009,Blackpool,E12000002,North West,2016,139983,7223961,55258490
E06000009,Blackpool,E12000002,North West,2017,139870,7258627,55609517
E06000009,Blackpool,E12000002,North West,2018,139305,7292093,55966230
E06000009,Blackpool,E12000002,North West,2019,139446,7341196,56275016
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,2015,258587,5390211,54777305
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,2016,260035,5425370,55258490
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,2017,260673,5450130,55609517
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,2018,260645,5479615,55966230
E06000010,"Kingston upon Hull, City of",E12000003,Yorkshire and The Humber,2019,259778,5502967,56275016
E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,2015,336756,5390211,54777305
E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,2016,337804,5425370,55258490
E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,2017,338061,5450130,55609517
E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,2018,339614,5479615,55966230
E06000011,East Riding of Yorkshire,E12000003,Yorkshire and The Humber,2019,341173,5502967,56275016
E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,2015,159971,5390211,54777305
E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,2016,159828,5425370,55258490
E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,2017,159826,5450130,55609517
E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,2018,159821,5479615,55966230
E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,2019,159563,5502967,56275016
E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,2015,169843,5390211,54777305
E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,2016,170807,5425370,55258490
E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,2017,171294,5450130,55609517
E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,2018,172005,5479615,55966230
E06000013,North Lincolnshire,E12000003,Yorkshire and The Humber,2019,172292,5502967,56275016
E06000014,York,E12000003,Yorkshire and The Humber,2015,205784,5390211,54777305
E06000014,York,E12000003,Yorkshire and The Humber,2016,206920,5425370,55258490
E06000014,York,E12000003,Yorkshire and The Humber,2017,208163,5450130,55609517
E06000014,York,E12000003,Yorkshire and The Humber,2018,209893,5479615,55966230
E06000014,York,E12000003,Yorkshire and The Humber,2019,210618,5502967,56275016
E06000015,Derby,E12000004,East Midlands,2015,253875,4677425,54777305
E06000015,Derby,E12000004,East Midlands,2016,256203,4725390,55258490
E06000015,Derby,E12000004,East Midlands,2017,257034,4771666,55609517
E06000015,Derby,E12000004,East Midlands,2018,257174,4804149,55966230
E06000015,Derby,E12000004,East Midlands,2019,257302,4835928,56275016
E06000016,Leicester,E12000004,East Midlands,2015,344036,4677425,54777305
E06000016,Leicester,E12000004,East Midlands,2016,349513,4725390,55258490
E06000016,Leicester,E12000004,East Midlands,2017,353540,4771666,55609517
E06000016,Leicester,E12000004,East Midlands,2018,355218,4804149,55966230
E06000016,Leicester,E12000004,East Midlands,2019,354224,4835928,56275016
E06000017,Rutland,E12000004,East Midlands,2015,38352,4677425,54777305
E06000017,Rutland,E12000004,East Midlands,2016,38949,4725390,55258490
E06000017,Rutland,E12000004,East Midlands,2017,39474,4771666,55609517
E06000017,Rutland,E12000004,East Midlands,2018,39697,4804149,55966230
E06000017,Rutland,E12000004,East Midlands,2019,39927,4835928,56275016
E06000018,Nottingham,E12000004,East Midlands,2015,318936,4677425,54777305
E06000018,Nottingham,E12000004,East Midlands,2016,324779,4725390,55258490
E06000018,Nottingham,E12000004,East Midlands,2017,329209,4771666,55609517
E06000018,Nottingham,E12000004,East Midlands,2018,331069,4804149,55966230
E06000018,Nottingham,E12000004,East Midlands,2019,332900,4835928,56275016
E06000019,"Herefordshire, County of",E12000005,West Midlands,2015,188522,5755032,54777305
E06000019,"Herefordshire, County of",E12000005,West Midlands,2016,189532,5810773,55258490
E06000019,"Herefordshire, County of",E12000005,West Midlands,2017,191041,5860706,55609517
E06000019,"Herefordshire, County of",E12000005,West Midlands,2018,192107,5900757,55966230
E06000019,"Herefordshire, County of",E12000005,West Midlands,2019,192801,5934037,56275016
E06000020,Telford and Wrekin,E12000005,West Midlands,2015,171677,5755032,54777305
E06000020,Telford and Wrekin,E12000005,West Midlands,2016,173727,5810773,55258490
E06000020,Telford and Wrekin,E12000005,West Midlands,2017,175768,5860706,55609517
E06000020,Telford and Wrekin,E12000005,West Midlands,2018,177799,5900757,55966230
E06000020,Telford and Wrekin,E12000005,West Midlands,2019,179854,5934037,56275016
E06000021,Stoke-on-Trent,E12000005,West Midlands,2015,251746,5755032,54777305
E06000021,Stoke-on-Trent,E12000005,West Midlands,2016,253659,5810773,55258490
E06000021,Stoke-on-Trent,E12000005,West Midlands,2017,255378,5860706,55609517
E06000021,Stoke-on-Trent,E12000005,West Midlands,2018,255833,5900757,55966230
E06000021,Stoke-on-Trent,E12000005,West Midlands,2019,256375,5934037,56275016
E06000022,Bath and North East Somerset,E12000009,South West,2015,184287,5469275,54777305
E06000022,Bath and North East Somerset,E12000009,South West,2016,186946,5514642,55258490
E06000022,Bath and North East Somerset,E12000009,South West,2017,188678,5557057,55609517
E06000022,Bath and North East Somerset,E12000009,South West,2018,192106,5597493,55966230
E06000022,Bath and North East Somerset,E12000009,South West,2019,193282,5622472,56275016
E06000023,"Bristol, City of",E12000009,South West,2015,450640,5469275,54777305
E06000023,"Bristol, City of",E12000009,South West,2016,455966,5514642,55258490
E06000023,"Bristol, City of",E12000009,South West,2017,459252,5557057,55609517
E06000023,"Bristol, City of",E12000009,South West,2018,463405,5597493,55966230
E06000023,"Bristol, City of",E12000009,South West,2019,463377,5622472,56275016
E06000024,North Somerset,E12000009,South West,2015,209941,5469275,54777305
E06000024,North Somerset,E12000009,South West,2016,211747,5514642,55258490
E06000024,North Somerset,E12000009,South West,2017,212834,5557057,55609517
E06000024,North Somerset,E12000009,South West,2018,213919,5597493,55966230
E06000024,North Somerset,E12000009,South West,2019,215052,5622472,56275016
E06000025,South Gloucestershire,E12000009,South West,2015,273952,5469275,54777305
E06000025,South Gloucestershire,E12000009,South West,2016,276677,5514642,55258490
E06000025,South Gloucestershire,E12000009,South West,2017,279027,5557057,55609517
E06000025,South Gloucestershire,E12000009,South West,2018,282644,5597493,55966230
E06000025,South Gloucestershire,E12000009,South West,2019,285093,5622472,56275016
E06000026,Plymouth,E12000009,South West,2015,261386,5469275,54777305
E06000026,Plymouth,E12000009,South West,2016,262355,5514642,55258490
E06000026,Plymouth,E12000009,South West,2017,263070,5557057,55609517
E06000026,Plymouth,E12000009,South West,2018,263100,5597493,55966230
E06000026,Plymouth,E12000009,South West,2019,262100,5622472,56275016
E06000027,Torbay,E12000009,South West,2015,133791,5469275,54777305
E06000027,Torbay,E12000009,South West,2016,134406,5514642,55258490
E06000027,Torbay,E12000009,South West,2017,135247,5557057,55609517
E06000027,Torbay,E12000009,South West,2018,135780,5597493,55966230
E06000027,Torbay,E12000009,South West,2019,136264,5622472,56275016
E06000030,Swindon,E12000009,South West,2015,217584,5469275,54777305
E06000030,Swindon,E12000009,South West,2016,218580,5514642,55258490
E06000030,Swindon,E12000009,South West,2017,220363,5557057,55609517
E06000030,Swindon,E12000009,South West,2018,221996,5597493,55966230
E06000030,Swindon,E12000009,South West,2019,222193,5622472,56275016
E06000031,Peterborough,E12000006,East of England,2015,193657,6075970,54777305
E06000031,Peterborough,E12000006,East of England,2016,196735,6129005,55258490
E06000031,Peterborough,E12000006,East of England,2017,198914,6168432,55609517
E06000031,Peterborough,E12000006,East of England,2018,201041,6201214,55966230
E06000031,Peterborough,E12000006,East of England,2019,202259,6236072,56275016
E06000032,Luton,E12000006,East of England,2015,213581,6075970,54777305
E06000032,Luton,E12000006,East of England,2016,215914,6129005,55258490
E06000032,Luton,E12000006,East of England,2017,214658,6168432,55609517
E06000032,Luton,E12000006,East of England,2018,214109,6201214,55966230
E06000032,Luton,E12000006,East of England,2019,213052,6236072,56275016
E06000033,Southend-on-Sea,E12000006,East of England,2015,179234,6075970,54777305
E06000033,Southend-on-Sea,E12000006,East of England,2016,180606,6129005,55258490
E06000033,Southend-on-Sea,E12000006,East of England,2017,181808,6168432,55609517
E06000033,Southend-on-Sea,E12000006,East of England,2018,182463,6201214,55966230
E06000033,Southend-on-Sea,E12000006,East of England,2019,183125,6236072,56275016
E06000034,Thurrock,E12000006,East of England,2015,166040,6075970,54777305
E06000034,Thurrock,E12000006,East of England,2016,168428,6129005,55258490
E06000034,Thurrock,E12000006,East of England,2017,170394,6168432,55609517
E06000034,Thurrock,E12000006,East of England,2018,172525,6201214,55966230
E06000034,Thurrock,E12000006,East of England,2019,174341,6236072,56275016
E06000035,Medway,E12000008,South East,2015,275176,8949392,54777305
E06000035,Medway,E12000008,South East,2016,276957,9030347,55258490
E06000035,Medway,E12000008,South East,2017,277616,9080825,55609517
E06000035,Medway,E12000008,South East,2018,277855,9133625,55966230
E06000035,Medway,E12000008,South East,2019,278556,9180135,56275016
E06000036,Bracknell Forest,E12000008,South East,2015,119205,8949392,54777305
E06000036,Bracknell Forest,E12000008,South East,2016,119730,9030347,55258490
E06000036,Bracknell Forest,E12000008,South East,2017,120377,9080825,55609517
E06000036,Bracknell Forest,E12000008,South East,2018,121676,9133625,55966230
E06000036,Bracknell Forest,E12000008,South East,2019,122549,9180135,56275016
E06000037,West Berkshire,E12000008,South East,2015,157460,8949392,54777305
E06000037,West Berkshire,E12000008,South East,2016,158576,9030347,55258490
E06000037,West Berkshire,E12000008,South East,2017,158473,9080825,55609517
E06000037,West Berkshire,E12000008,South East,2018,158527,9133625,55966230
E06000037,West Berkshire,E12000008,South East,2019,158450,9180135,56275016
E06000038,Reading,E12000008,South East,2015,161701,8949392,54777305
E06000038,Reading,E12000008,South East,2016,162701,9030347,55258490
E06000038,Reading,E12000008,South East,2017,163075,9080825,55609517
E06000038,Reading,E12000008,South East,2018,163203,9133625,55966230
E06000038,Reading,E12000008,South East,2019,161780,9180135,56275016
E06000039,Slough,E12000008,South East,2015,146038,8949392,54777305
E06000039,Slough,E12000008,South East,2016,147736,9030347,55258490
E06000039,Slough,E12000008,South East,2017,148768,9080825,55609517
E06000039,Slough,E12000008,South East,2018,149112,9133625,55966230
E06000039,Slough,E12000008,South East,2019,149539,9180135,56275016
E06000040,Windsor and Maidenhead,E12000008,South East,2015,148277,8949392,54777305
E06000040,Windsor and Maidenhead,E12000008,South East,2016,149689,9030347,55258490
E06000040,Windsor and Maidenhead,E12000008,South East,2017,150140,9080825,55609517
E06000040,Windsor and Maidenhead,E12000008,South East,2018,150906,9133625,55966230
E06000040,Windsor and Maidenhead,E12000008,South East,2019,151422,9180135,56275016
E06000041,Wokingham,E12000008,South East,2015,161200,8949392,54777305
E06000041,Wokingham,E12000008,South East,2016,163087,9030347,55258490
E06000041,Wokingham,E12000008,South East,2017,164980,9080825,55609517
E06000041,Wokingham,E12000008,South East,2018,167979,9133625,55966230
E06000041,Wokingham,E12000008,South East,2019,171119,9180135,56275016
E06000042,Milton Keynes,E12000008,South East,2015,263181,8949392,54777305
E06000042,Milton Keynes,E12000008,South East,2016,266240,9030347,55258490
E06000042,Milton Keynes,E12000008,South East,2017,267521,9080825,55609517
E06000042,Milton Keynes,E12000008,South East,2018,268607,9133625,55966230
E06000042,Milton Keynes,E12000008,South East,2019,269457,9180135,56275016
E06000043,Brighton and Hove,E12000008,South East,2015,284073,8949392,54777305
E06000043,Brighton and Hove,E12000008,South East,2016,287173,9030347,55258490
E06000043,Brighton and Hove,E12000008,South East,2017,288155,9080825,55609517
E06000043,Brighton and Hove,E12000008,South East,2018,290395,9133625,55966230
E06000043,Brighton and Hove,E12000008,South East,2019,290885,9180135,56275016
E06000044,Portsmouth,E12000008,South East,2015,210538,8949392,54777305
E06000044,Portsmouth,E12000008,South East,2016,213335,9030347,55258490
E06000044,Portsmouth,E12000008,South East,2017,214718,9080825,55609517
E06000044,Portsmouth,E12000008,South East,2018,215133,9133625,55966230
E06000044,Portsmouth,E12000008,South East,2019,214905,9180135,56275016
E06000045,Southampton,E12000008,South East,2015,246054,8949392,54777305
E06000045,Southampton,E12000008,South East,2016,250377,9030347,55258490
E06000045,Southampton,E12000008,South East,2017,252359,9080825,55609517
E06000045,Southampton,E12000008,South East,2018,252796,9133625,55966230
E06000045,Southampton,E12000008,South East,2019,252520,9180135,56275016
E06000046,Isle of Wight,E12000008,South East,2015,139763,8949392,54777305
E06000046,Isle of Wight,E12000008,South East,2016,140264,9030347,55258490
E06000046,Isle of Wight,E12000008,South East,2017,140984,9080825,55609517
E06000046,Isle of Wight,E12000008,South East,2018,141538,9133625,55966230
E06000046,Isle of Wight,E12000008,South East,2019,141771,9180135,56275016
E06000047,County Durham,E12000001,North East,2015,519347,2624579,54777305
E06000047,County Durham,E12000001,North East,2016,521776,2636589,55258490
E06000047,County Durham,E12000001,North East,2017,523662,2644727,55609517
E06000047,County Durham,E12000001,North East,2018,526980,2657909,55966230
E06000047,County Durham,E12000001,North East,2019,530094,2669941,56275016
E06000049,Cheshire East,E12000002,North West,2015,375722,7175178,54777305
E06000049,Cheshire East,E12000002,North West,2016,377303,7223961,55258490
E06000049,Cheshire East,E12000002,North West,2017,378846,7258627,55609517
E06000049,Cheshire East,E12000002,North West,2018,380790,7292093,55966230
E06000049,Cheshire East,E12000002,North West,2019,384152,7341196,56275016
E06000050,Cheshire West and Chester,E12000002,North West,2015,333949,7175178,54777305
E06000050,Cheshire West and Chester,E12000002,North West,2016,335724,7223961,55258490
E06000050,Cheshire West and Chester,E12000002,North West,2017,337986,7258627,55609517
E06000050,Cheshire West and Chester,E12000002,North West,2018,340502,7292093,55966230
E06000050,Cheshire West and Chester,E12000002,North West,2019,343071,7341196,56275016
E06000051,Shropshire,E12000005,West Midlands,2015,312227,5755032,54777305
E06000051,Shropshire,E12000005,West Midlands,2016,314392,5810773,55258490
E06000051,Shropshire,E12000005,West Midlands,2017,317459,5860706,55609517
E06000051,Shropshire,E12000005,West Midlands,2018,320274,5900757,55966230
E06000051,Shropshire,E12000005,West Midlands,2019,323136,5934037,56275016
E06000052,Cornwall,E12000009,South West,2015,550283,5469275,54777305
E06000052,Cornwall,E12000009,South West,2016,555057,5514642,55258490
E06000052,Cornwall,E12000009,South West,2017,561349,5557057,55609517
E06000052,Cornwall,E12000009,South West,2018,565968,5597493,55966230
E06000052,Cornwall,E12000009,South West,2019,569578,5622472,56275016
E06000054,Wiltshire,E12000009,South West,2015,488487,5469275,54777305
E06000054,Wiltshire,E12000009,South West,2016,492240,5514642,55258490
E06000054,Wiltshire,E12000009,South West,2017,496043,5557057,55609517
E06000054,Wiltshire,E12000009,South West,2018,498064,5597493,55966230
E06000054,Wiltshire,E12000009,South West,2019,500024,5622472,56275016
E06000055,Bedford,E12000006,East of England,2015,166376,6075970,54777305
E06000055,Bedford,E12000006,East of England,2016,168814,6129005,55258490
E06000055,Bedford,E12000006,East of England,2017,169912,6168432,55609517
E06000055,Bedford,E12000006,East of England,2018,171623,6201214,55966230
E06000055,Bedford,E12000006,East of England,2019,173292,6236072,56275016
E06000056,Central Bedfordshire,E12000006,East of England,2015,272421,6075970,54777305
E06000056,Central Bedfordshire,E12000006,East of England,2016,276731,6129005,55258490
E06000056,Central Bedfordshire,E12000006,East of England,2017,280030,6168432,55609517
E06000056,Central Bedfordshire,E12000006,East of England,2018,283606,6201214,55966230
E06000056,Central Bedfordshire,E12000006,East of England,2019,288648,6236072,56275016
E06000057,Northumberland,E12000001,North East,2015,316453,2624579,54777305
E06000057,Northumberland,E12000001,North East,2016,317444,2636589,55258490
E06000057,Northumberland,E12000001,North East,2017,319030,2644727,55609517
E06000057,Northumberland,E12000001,North East,2018,320274,2657909,55966230
E06000057,Northumberland,E12000001,North East,2019,322434,2669941,56275016
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,2015,390889,5469275,54777305
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,2016,394009,5514642,55258490
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,2017,395638,5557057,55609517
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,2018,395784,5597493,55966230
E06000058,"Bournemouth, Christchurch and Poole",E12000009,South West,2019,395331,5622472,56275016
E06000059,Dorset,E12000009,South West,2015,371636,5469275,54777305
E06000059,Dorset,E12000009,South West,2016,373288,5514642,55258490
E06000059,Dorset,E12000009,South West,2017,375051,5557057,55609517
E06000059,Dorset,E12000009,South West,2018,376484,5597493,55966230
E06000059,Dorset,E12000009,South West,2019,378508,5622472,56275016
E09000020,Kensington and Chelsea,E12000007,London,2015,158589,8660243,54777305
E09000020,Kensington and Chelsea,E12000007,London,2016,156773,8762413,55258490
E09000020,Kensington and Chelsea,E12000007,London,2017,155741,8817347,55609517
E09000020,Kensington and Chelsea,E12000007,London,2018,156197,8899375,55966230
E09000020,Kensington and Chelsea,E12000007,London,2019,156129,8952268,56275016
E09000021,Kingston upon Thames,E12000007,London,2015,171609,8660243,54777305
E09000021,Kingston upon Thames,E12000007,London,2016,173703,8762413,55258490
E09000021,Kingston upon Thames,E12000007,London,2017,174609,8817347,55609517
E09000021,Kingston upon Thames,E12000007,London,2018,175470,8899375,55966230
E09000021,Kingston upon Thames,E12000007,London,2019,177507,8952268,56275016
E09000022,Lambeth,E12000007,London,2015,320736,8660243,54777305
E09000022,Lambeth,E12000007,London,2016,323063,8762413,55258490
E09000022,Lambeth,E12000007,London,2017,324048,8817347,55609517
E09000022,Lambeth,E12000007,London,2018,325917,8899375,55966230
E09000022,Lambeth,E12000007,London,2019,326034,8952268,56275016
E09000023,Lewisham,E12000007,London,2015,294999,8660243,54777305
E09000023,Lewisham,E12000007,London,2016,298903,8762413,55258490
E09000023,Lewisham,E12000007,London,2017,301307,8817347,55609517
E09000023,Lewisham,E12000007,London,2018,303536,8899375,55966230
E09000023,Lewisham,E12000007,London,2019,305842,8952268,56275016
E09000024,Merton,E12000007,London,2015,205965,8660243,54777305
E09000024,Merton,E12000007,London,2016,206706,8762413,55258490
E09000024,Merton,E12000007,London,2017,206052,8817347,55609517
E09000024,Merton,E12000007,London,2018,206186,8899375,55966230
E09000024,Merton,E12000007,London,2019,206548,8952268,56275016
E09000025,Newham,E12000007,London,2015,336254,8660243,54777305
E09000025,Newham,E12000007,London,2016,344533,8762413,55258490
E09000025,Newham,E12000007,London,2017,347996,8817347,55609517
E09000025,Newham,E12000007,London,2018,352005,8899375,55966230
E09000025,Newham,E12000007,London,2019,353134,8952268,56275016
E09000026,Redbridge,E12000007,London,2015,297928,8660243,54777305
E09000026,Redbridge,E12000007,London,2016,301328,8762413,55258490
E09000026,Redbridge,E12000007,London,2017,301785,8817347,55609517
E09000026,Redbridge,E12000007,London,2018,303858,8899375,55966230
E09000026,Redbridge,E12000007,London,2019,305222,8952268,56275016
E09000027,Richmond upon Thames,E12000007,London,2015,194124,8660243,54777305
E09000027,Richmond upon Thames,E12000007,London,2016,195187,8762413,55258490
E09000027,Richmond upon Thames,E12000007,London,2017,195680,8817347,55609517
E09000027,Richmond upon Thames,E12000007,London,2018,196904,8899375,55966230
E09000027,Richmond upon Thames,E12000007,London,2019,198019,8952268,56275016
E09000028,Southwark,E12000007,London,2015,308434,8660243,54777305
E09000028,Southwark,E12000007,London,2016,311655,8762413,55258490
E09000028,Southwark,E12000007,London,2017,314232,8817347,55609517
E09000028,Southwark,E12000007,London,2018,317256,8899375,55966230
E09000028,Southwark,E12000007,London,2019,318830,8952268,56275016
E09000029,Sutton,E12000007,London,2015,199870,8660243,54777305
E09000029,Sutton,E12000007,London,2016,201945,8762413,55258490
E09000029,Sutton,E12000007,London,2017,203243,8817347,55609517
E09000029,Sutton,E12000007,London,2018,204525,8899375,55966230
E09000029,Sutton,E12000007,London,2019,206349,8952268,56275016
E09000030,Tower Hamlets,E12000007,London,2015,293828,8660243,54777305
E09000030,Tower Hamlets,E12000007,London,2016,300943,8762413,55258490
E09000030,Tower Hamlets,E12000007,London,2017,307964,8817347,55609517
E09000030,Tower Hamlets,E12000007,London,2018,317705,8899375,55966230
E09000030,Tower Hamlets,E12000007,London,2019,324745,8952268,56275016
E09000031,Waltham Forest,E12000007,London,2015,270671,8660243,54777305
E09000031,Waltham Forest,E12000007,London,2016,274222,8762413,55258490
E09000031,Waltham Forest,E12000007,London,2017,275505,8817347,55609517
E09000031,Waltham Forest,E12000007,London,2018,276700,8899375,55966230
E09000031,Waltham Forest,E12000007,London,2019,276983,8952268,56275016
E09000032,Wandsworth,E12000007,London,2015,319477,8660243,54777305
E09000032,Wandsworth,E12000007,London,2016,321497,8762413,55258490
E09000032,Wandsworth,E12000007,London,2017,323257,8817347,55609517
E09000032,Wandsworth,E12000007,London,2018,326474,8899375,55966230
E09000032,Wandsworth,E12000007,London,2019,329677,8952268,56275016
E09000033,Westminster,E12000007,London,2015,238047,8660243,54777305
E09000033,Westminster,E12000007,London,2016,241974,8762413,55258490
E09000033,Westminster,E12000007,London,2017,244796,8817347,55609517
E09000033,Westminster,E12000007,London,2018,255324,8899375,55966230
E09000033,Westminster,E12000007,London,2019,261317,8952268,56275016
E10000003,Cambridgeshire,E12000006,East of England,2015,641524,6075970,54777305
E10000003,Cambridgeshire,E12000006,East of England,2016,644575,6129005,55258490
E10000003,Cambridgeshire,E12000006,East of England,2017,648237,6168432,55609517
E10000003,Cambridgeshire,E12000006,East of England,2018,651482,6201214,55966230
E10000003,Cambridgeshire,E12000006,East of England,2019,653537,6236072,56275016
E10000006,Cumbria,E12000002,North West,2015,498581,7175178,54777305
E10000006,Cumbria,E12000002,North West,2016,498793,7223961,55258490
E10000006,Cumbria,E12000002,North West,2017,498375,7258627,55609517
E10000006,Cumbria,E12000002,North West,2018,498888,7292093,55966230
E10000006,Cumbria,E12000002,North West,2019,500012,7341196,56275016
E10000007,Derbyshire,E12000004,East Midlands,2015,783082,4677425,54777305
E10000007,Derbyshire,E12000004,East Midlands,2016,786734,4725390,55258490
E10000007,Derbyshire,E12000004,East Midlands,2017,791966,4771666,55609517
E10000007,Derbyshire,E12000004,East Midlands,2018,796142,4804149,55966230
E10000007,Derbyshire,E12000004,East Midlands,2019,802694,4835928,56275016
E10000008,Devon,E12000009,South West,2015,772406,5469275,54777305
E10000008,Devon,E12000009,South West,2016,778831,5514642,55258490
E10000008,Devon,E12000009,South West,2017,787171,5557057,55609517
E10000008,Devon,E12000009,South West,2018,795286,5597493,55966230
